timeStamp,frameNumber,subFrame,detIdx,x,y,z,v,range,azimuth_deg,elevation_deg,snr,noise
2025-10-05 20:04:39.932,8348,0,0,0.04578031226992607,0.17706982791423798,0.22890155017375946,0.44021284580230713,0.2929939941723378,75.50396072961783,51.375164691732095,126,449
2025-10-05 20:04:39.932,8348,0,1,0.04272828996181488,0.20905227959156036,0.2670518159866333,0.44021284580230713,0.34182632254881645,78.44839379645975,51.37516752848763,144,441
2025-10-05 20:04:39.932,8348,0,2,0.04272828996181488,0.22202271223068237,0.2563697397708893,-0.44021284580230713,0.34182632283006353,79.10660558205969,48.59037729478943,116,455
2025-10-05 20:04:40.032,8349,0,0,0.03204621747136116,0.1966778188943863,0.2777338922023773,0.44021284580230713,0.3418263292626192,80.745686243965,54.34091221084629,115,446
2025-10-05 20:04:42.332,8372,0,0,-0.2304275631904602,3.108637571334839,-6.682399272918701,-0.8804256916046143,7.373681879122318,94.23929309891037,-64.99216805130588,128,447
2025-10-05 20:04:42.332,8372,0,1,-0.23195357620716095,2.5724895000457764,-6.958607196807861,-0.8804256916046143,7.422514318532987,95.15225406239514,-69.6358657079435,137,447
2025-10-05 20:04:42.532,8374,0,0,0.44864705204963684,3.00124454498291,-6.505382061004639,-0.44021284580230713,7.178352788470588,81.49798233865849,-64.9921638662155,114,447
2025-10-05 20:04:43.232,8381,0,0,0.40897077322006226,2.240025758743286,-6.134561538696289,-0.44021284580230713,6.543532514264251,79.65323200655104,-69.63586032663781,139,441
2025-10-05 20:04:43.532,8384,0,0,0.0,3.354890823364258,-5.273891925811768,-1.3206385374069214,6.250538255369394,90.0,-57.538259692462056,116,448
2025-10-05 20:04:43.532,8384,0,1,0.0,3.0496695041656494,-5.51194953918457,-1.3206385374069214,6.299370746920279,90.0,-61.04497817628107,166,441
2025-10-05 20:04:43.532,8384,0,2,0.0,2.6836533546447754,-5.753058910369873,-1.3206385374069214,6.348203064969042,90.0,-64.99216426185919,157,440
2025-10-05 20:04:43.532,8384,0,3,0.0,3.381101369857788,-5.315093994140625,-0.8804256916046143,6.299370654264119,90.0,-57.538255110798126,145,451
2025-10-05 20:04:43.532,8384,0,4,-0.19838134944438934,3.0669007301330566,-5.554677963256836,-0.8804256916046143,6.348203094088056,93.7010004531248,-61.04498039944369,143,451
2025-10-05 20:04:43.532,8384,0,5,-0.5997220277786255,2.1437671184539795,-5.997220516204834,-0.8804256916046143,6.397035085784316,105.62904173810033,-69.63586836677571,116,451
2025-10-05 20:04:43.532,8384,0,6,-0.8057334423065186,3.0147788524627686,-5.640133857727051,-0.8804256916046143,6.445867501150397,104.96321569686623,-61.044971849915335,118,451
2025-10-05 20:04:43.632,8385,0,0,0.0,3.002387762069702,-5.426492691040039,-1.3206385374069214,6.201705829829151,90.0,-61.04497734449256,138,445
2025-10-05 20:04:43.632,8385,0,1,0.0,2.6423659324645996,-5.664550304412842,-1.3206385374069214,6.250538206608542,90.0,-64.99216795083606,131,446
2025-10-05 20:04:43.632,8385,0,2,-0.1968553364276886,2.6557235717773438,-5.708804607391357,-0.8804256916046143,6.299370584316076,94.23929298698887,-64.99216709568235,121,450
2025-10-05 20:04:43.632,8385,0,3,0.3876066207885742,2.9772627353668213,-5.426492691040039,-0.44021284580230713,6.201705830962481,82.58244368733511,-61.04497732556825,138,441
2025-10-05 20:04:43.632,8385,0,4,0.19532932341098785,3.0197176933288574,-5.469221115112305,-0.44021284580230713,6.250538224663363,86.29899970926462,-61.04497881917549,139,445
2025-10-05 20:04:43.732,8386,0,0,0.5905660390853882,2.9919421672821045,-5.51194953918457,-2.201064109802246,6.299370913146704,78.83417725522287,-61.04497544366918,135,442
2025-10-05 20:04:43.732,8386,0,1,-0.19227729737758636,2.5939621925354004,-5.5760416984558105,-0.8804256916046143,6.152873429407422,94.23929340778042,-64.99217013677155,120,446
2025-10-05 20:04:43.732,8386,0,2,0.0,2.621722459793091,-5.620296001434326,-0.8804256916046143,6.20170587821788,90.0,-64.99216784271569,150,447
2025-10-05 20:04:43.732,8386,0,3,0.0,3.026028633117676,-5.469221115112305,-0.8804256916046143,6.250538288374715,90.0,-61.04497776363599,130,450
2025-10-05 20:04:43.732,8386,0,4,0.0,2.9787471294403076,-5.383764266967773,-0.44021284580230713,6.152873486707485,90.0,-61.04497497605391,142,445
2025-10-05 20:04:43.732,8386,0,5,0.1938033103942871,2.996126174926758,-5.426492691040039,-0.44021284580230713,6.201705789951019,86.2989997923773,-61.04497801037679,170,446
2025-10-05 20:04:43.732,8386,0,6,0.19532932341098785,3.0197176933288574,-5.469221115112305,-0.44021284580230713,6.250538224663363,86.29899970926462,-61.04497881917549,151,446
2025-10-05 20:04:43.832,8387,0,0,0.0,2.9787471294403076,-5.383764266967773,-0.44021284580230713,6.152873486707485,90.0,-61.04497497605391,143,439
2025-10-05 20:04:43.832,8387,0,1,0.0,3.002387762069702,-5.426492691040039,-0.44021284580230713,6.201705829829151,90.0,-61.04497734449256,136,438
2025-10-05 20:04:43.932,8388,0,0,-0.19532932341098785,3.0197176933288574,-5.469221115112305,-0.8804256916046143,6.250538224663363,93.7010002907354,-61.04497881917549,114,453
2025-10-05 20:04:44.032,8389,0,0,-0.37234652042388916,2.4908289909362793,-5.399024486541748,-1.3206385374069214,5.95754449413832,98.50201675663743,-64.99216195891572,142,454
2025-10-05 20:04:44.032,8389,0,1,-0.37539854645729065,2.5112457275390625,-5.443278789520264,-1.3206385374069214,6.006376874056991,98.50201652451625,-64.99216106554564,129,453
