timeStamp,frameNumber,subFrame,detIdx,x,y,z,v,range,azimuth_deg,elevation_deg,snr,noise
2025-09-13 16:58:39.635,9945,0,0,-0.40806329250335693,2.300325393676758,-3.672569513320923,-0.3399754762649536,4.3526749703667384,100.05926617444004,-57.53825520624571,127,474
2025-09-13 16:58:39.685,9946,0,0,0.12730179727077484,2.1827709674835205,-3.4371485710144043,-1.0199264287948608,4.073657465141574,86.66222293877719,-57.538257254937,163,465
2025-09-13 16:58:40.035,9953,0,0,-0.39498433470726013,2.0010805130004883,-3.686520576477051,-0.3399754762649536,4.213166244638718,101.16582361035887,-61.04497878601516,123,471
2025-09-13 16:58:40.185,9956,0,0,0.12642987072467804,1.9545586109161377,-3.54003643989563,0.3399754762649536,4.045756032128829,86.29900061260057,-61.044973047544055,161,452
2025-09-13 16:58:40.185,9956,0,1,-1.1021196842193604,1.8276582956314087,-3.857419013977051,-0.3399754762649536,4.408478659733511,121.09093642529174,-61.044980640547905,138,480
2025-09-13 16:58:40.285,9958,0,0,-0.13078951835632324,1.7644470930099487,-3.792896032333374,-0.3399754762649536,4.185264597875908,94.23929275274071,-64.9921664579412,117,473
2025-09-13 16:58:40.335,9959,0,0,-0.680105447769165,2.2350544929504395,-3.672569513320923,0.3399754762649536,4.35267490593055,106.92449750240087,-57.538256539610586,174,462
2025-09-13 16:58:40.335,9959,0,1,-0.8370528817176819,2.2451820373535156,-3.766737937927246,-0.3399754762649536,4.46428209241611,110.44655342282061,-57.53825317843498,126,465
2025-09-13 16:58:40.385,9960,0,0,-0.8161265850067139,2.402611494064331,-3.536548376083374,0.3399754762649536,4.352674925898178,108.76175745619436,-54.340912276564204,116,471
2025-09-13 16:58:40.385,9960,0,1,-1.1090950965881348,1.839226245880127,-3.8818328380584717,-0.3399754762649536,4.436380427717988,121.09092898314394,-61.044974662569636,141,463
2025-09-13 16:58:40.435,9961,0,0,-0.39760011434555054,2.241342306137085,-3.5784010887145996,0.3399754762649536,4.241067735361147,100.0592674510121,-57.538259739673784,133,474
2025-09-13 16:58:40.435,9961,0,1,-0.6844651103019714,2.0072457790374756,-3.8330044746398926,-0.3399754762649536,4.380576606714451,108.8292305092543,-61.04497410883734,167,461
2025-09-13 16:58:40.485,9962,0,0,-0.41067904233932495,2.3150711059570312,-3.6961114406585693,0.3399754762649536,4.380576592552745,100.05926504654644,-57.538253587510226,166,467
2025-09-13 16:58:40.485,9962,0,1,-0.8265897631645203,1.6703113317489624,-3.9951839447021484,-0.3399754762649536,4.408478800396254,116.32950412172549,-64.99216774429279,128,469
2025-09-13 16:58:40.535,9963,0,0,-0.13253337144851685,2.2724738121032715,-3.5784010887145996,0.3399754762649536,4.241067869411726,93.3377770023865,-57.538256892795374,132,463
2025-09-13 16:58:40.535,9963,0,1,-0.6844651103019714,1.7207186222076416,-3.969897508621216,-0.3399754762649536,4.3805765936677545,111.69160598267969,-64.99216585599197,169,469
2025-09-13 16:58:40.585,9964,0,0,-0.13253337144851685,2.2724738121032715,-3.5784010887145996,0.3399754762649536,4.241067869411726,93.3377770023865,-57.538256892795374,131,474
2025-09-13 16:58:40.585,9964,0,1,-0.9704582095146179,2.1744344234466553,-3.7431960105895996,0.3399754762649536,4.436380345729838,114.0513852917347,-57.53825729170519,125,474
2025-09-13 16:58:40.585,9964,0,2,-0.40021589398384094,2.0275847911834717,-3.7353482246398926,-0.3399754762649536,4.268969337739052,101.16582356463536,-61.04497712847253,144,456
2025-09-13 16:58:40.585,9964,0,3,-1.088168740272522,1.8045239448547363,-3.8085906505584717,-0.3399754762649536,4.352675110593689,121.09092706064534,-61.04497369190611,176,467
2025-09-13 16:58:40.635,9965,0,0,-0.6931844353675842,2.27803635597229,-3.7431960105895996,0.3399754762649536,4.436380357257623,106.92449802560104,-57.53825705766388,131,476
2025-09-13 16:58:40.635,9965,0,1,-0.8108949661254883,2.1750199794769287,-3.6490275859832764,-0.3399754762649536,4.324773390650476,110.44655414916103,-57.53825596138058,143,477
2025-09-13 16:58:40.685,9966,0,0,-0.8318213224411011,1.980130672454834,-3.8818328380584717,0.3399754762649536,4.4363803235400345,112.78649945359875,-61.04497709433737,211,469
2025-09-13 16:58:40.685,9966,0,1,-0.680105447769165,1.9944608211517334,-3.8085906505584717,-0.3399754762649536,4.352675054574594,108.82922978348596,-61.04497502467506,121,470
2025-09-13 16:58:40.735,9967,0,0,-0.8318213224411011,2.231149435043335,-3.7431960105895996,0.3399754762649536,4.436380381308139,110.44655570523241,-57.538256569381524,182,463
2025-09-13 16:58:40.885,9970,0,0,-0.3792896270751953,1.3558099269866943,-3.792896032333374,-0.6799509525299072,4.045755985154413,105.62903355143882,-69.63585690172128,142,462
2025-09-13 16:58:41.185,9976,0,0,-0.12642987072467804,1.7056325674057007,-3.666466236114502,0.3399754762649536,4.045756002006803,94.23929191747254,-64.99216205169793,131,462
